text,jurisdiction,source,last_reform_date,title,Id
Reglamento de Administración y Funcionamiento de la Corporación Ángeles Verdes.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n233.doc,30/09/2009,Reglamento de administración y funcionamiento de la corporación Ángeles Verdes,3.00001
"Reglamento de Adquisiciones, Arrendamientos y Servicios del Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales.doc.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n420.doc,16/05/2024,"Reglamento de Adquisiciones, Arrendamientos y Servicios del Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",3.00002
Reglamento de Agencias de Colocación de Trabajadores.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n261.doc,21/5/2014,Reglamento de Agencias de Colocación de Trabajadores,3.00003
"Estatuto Orgánico, Manual de Organización, Reglamento de Apoyos Económicos, Políticas, Bases y Lineamientos en Materia de Adquisiciones, Arrendamientos y Servicios, así como el Manual de Integración y Funcionamiento del Subcomité Rev.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg100_24jul23.pdf,24/07/2023,Reglamento de Apoyos Económicos de la Comisión de Operación y Fomento de Actividades Académicas del Instituto Politécnico Nacional,3.00004
REGLAMENTO de Autotransporte Federal y Servicios Auxiliares.txt,MX,https://dof.gob.mx/nota_detalle.php?codigo=4766772&fecha=22/11/1994&print=true,03/05/2023,Reglamento de Autotransporte Federal y Servicios Auxiliares,3.00005
"Reglamento de Becas del Consejo Nacional de Humanidades, Ciencias y Tecnologías.doc.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg066_10jul23.doc,10/07/2023,"Reglamento de Becas del Consejo Nacional de Humanidades, Ciencias y Tecnologías",3.00006
Reglamento de Comisiones del Consejo General del Instituto Nacional Electoral.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n86.doc,14/08/2020,Reglamento de Comisiones del Consejo General del Instituto Nacional Electoral,3.00007
"Reglamento de Concursos, Selección e Incorporación de Personal de Carrera Jurisdiccional en los Tribunales Agrarios.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg089_23mar23.pdf,23/03/2023,"Reglamento de Concursos, Selección e Incorporación de Personal de Carrera Jurisdiccional en los Tribunales Agrarios",3.00008
Reglamento de Control Sanitario de Productos y Servicios.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n273.doc,08/09/2022,Reglamento de Control Sanitario de Productos y Servicios.,3.00009
Reglamento de Elecciones del Instituto Nacional Electoral.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n419.zip,03/10/2023,Reglamento de Elecciones del Instituto Nacional Electoral,3.00010
Reglamento de Escalafón de la Suprema Corte de Justicia de la Nación.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n32.doc,08/12/2006,Reglamento de Escalafón de la Suprema Corte de Justicia de la Nación,3.00011
"Reglamento de Estudios de Posgrado del Centro de Investigaciones Biológicas del Noroeste, S.C..txt",MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg088_09mar23.pdf,09/03/2023,"Reglamentos de Estudios de Posgrado del Centro de Investigaciones Biológicas del Noroeste, S.C.",3.00012
Reglamento de Fiscalización del Instituto Nacional Electoral.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n298.doc,3/10/2023,Reglamento de Fiscalización del Instituto Nacional Electoral,3.00013
Reglamento del Gas Licuado de Petróleo.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n57.doc,6/12/2007,Reglamento de Gas Licuado de Petróleo,3.00014
"Reglamento de Honores, Banderas y Luces de la Armada de México.txt",MX,http://www.ordenjuridico.gob.mx/Documentos/Federal/html/wo88314.html,20/05/2013,"Reglamento de honores, Banderas y Luces de la Armada de México",3.00015
Reglamento de Ingresos Propios del Instituto Nacional de Pesca y Acuacultura.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n648_09jul19_reglamento.pdf,9/7/2019,Reglamento de Ingresos Propios del Instituto Nacional de Pesca y Acuacultura,3.00016
"Reglamento de Inscripción, pago de aportaciones y entero de descuentos al instituto del fondo nacional de la vivienda para los trabajadores.doc.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n327.doc,28/9/2017,"Reglamento de Inscripción, Pago de Aportaciones y Entero de Descuentos al Instituto del Fondo Nacional de la Vivienda para los Trabajadores",3.00017
Reglamento de Inspección y Vigilancia de la Comisión Nacional de Seguros y Fianzas.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/18.DOC,26/1/2004,Reglamento de Inspección y Vigilancia de la Comisión Nacional de Seguros y Fianzas,3.00018
Reglamento de Instituciones Educativas en Materia Aeronáutica.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg107_24nov23.doc,24/11/2023,Reglamento de Instituciones Educativas en Materia Aeronáutica,3.00019
REGLAMENTO de Insumos para la Salud.txt,MX,https://salud.gob.mx/unidades/cdi/nom/compi/ris.html,31/5/2021,Reglamento de Insumos para la Salud,3.00020
Reglamento de Investigación del Instituto Nacional de Ciencias Penales.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n530.pdf,27/10/2017,Reglamento de Investigación del Instituto Nacional de Ciencias Penales,3.00021
Reglamento de la Academia Superior de Seguridad Pública y Planteles Académicos de la Policía Federal.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n387.doc,13/11/2013,Reglamento de la Academia Superior de Seguridad Pública y Planteles Académicos de la Policía Federal,3.00022
Reglamento de la Asamblea Consultiva del Consejo Nacional para Prevenir la Discriminación.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg113_15feb24.pdf,15/2/2024,Reglamento de la Asamblea Consultiva del Consejo Nacional para Prevenir la Discriminación,3.00023
Reglamento de la Comisión de Avalúos de Bienes Nacionales.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/20.DOC,26/1/2004,Reglamento de la Comisión de Avalúos de Bienes Nacionales,3.00024
Reglamento de la Comisión de Inconformidad del Instituto del Fondo Nacional de la Vivienda para los Trabajadores.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n586.doc,20/7/2018,Reglamento de la Comisión de Inconformidades del Instituto del Fondo Nacional de la Vivienda para los Trabajadores,3.00025
Reglamento de la Comisión Federal para la Protección Contra Riesgos Sanitarios.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/29.DOC,13/4/2004,Reglamento de la Comisión Federal para la Protección Contra Riesgos Sanitarios,3.00026
Reglamento de la Comisión Intersecretarial de Bioseguridad de los Organismos Genéticamente Modificados.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n17.doc,28/11/2006,Reglamento de la Comisión Intersecretarial de Bioseguridad de los Organismos Genéticamente Modificados,3.00027
Reglamento de la Comisión para la Igualdad de Género del Tribunal Federal de Justicia Administrativa.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg053_06oct21.doc,6/10/2021,Reglamento de la Comisión para la Igualdad de Género del Tribunal Federal de Justicia Administrativa,3.00028
Reglamento de la Escuela de Maquinaria Naval.txt,MX,http://www.ordenjuridico.gob.mx/Federal/Combo/R-39.pdf,9/6/2022,Reglamento de la Comisión de la Escuela de Maquinaria Naval,3.00029
Reglamento de la Escuela Militar de Enfermeras.txt,MX,https://www.diputados.gob.mx/documentos/Defensa/12.pdf,1/8/2011,Reglamento de la Escuela Militar de Enfermeras,3.00030
Reglamento de la Escuela Militar de Oficiales de Sanidad.txt,MX,https://dof.gob.mx/nota_detalle.php?codigo=4643347&fecha=01/02/1990#gsc.tab=0,1/8/2011,Reglamento de la Escuela Militar de Oficiales de Sanidad,3.00031
Reglamento de la Escuela Militar de Tropas Especialistas de la Fuerza Aérea.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/66.DOC,30/8/2004,Reglamento de la Escuela Militar de Tropas Especialistas de la Fuerza Aérea,3.00032
Reglamento de la Heroica Escuela Naval Militar.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg032_12nov20.doc,12/11/2020,Reglamento de la Heroica Escuela Naval Militar,3.00033
REGLAMENTO de la Junta de Gobierno del Consejo Nacional para Prevenir la Discriminación.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg097_15feb24.pdf,15/2/2024,Reglamento de la Junta de Gobierno del Consejo Nacional para Prevenir la Discriminación,3.00034
Reglamento de la Junta Naval.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n376.doc,11/6/2013,Reglamento de la Junta Naval,3.00035
Reglamento de la Mapoteca Manuel Orozco y Berra.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n527.doc,26/10/2017,Reglamento de la Mapoteca Manuel Orozco Berra,3.00036
Reglamento de la Oficalía Electoral del Instituto Nacional Electoral.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n414.doc,25/1/2017,Reglamento de la Oficalía Electoral del Instituto Nacional Electoral,3.00037
Reglamento de la Oficina de la Presidencia de la República.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg003_09dic19.doc,9/12/2019,Reglamento de la Oficina de la Presidencia de la República,3.00038
Reglamento de la Procuraduría de la Defensa del Trabajo.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg081_31ago22.doc,31/8/2022,Reglamento de la Procuraduría Federal de la Defensa del Trabajo,3.00039
Reglamento de Procuraduría Federal del Consumidor.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg005_30dic19.doc,30/12/2019,Reglamento de la Procuraduría Federal del Consumidor,3.00040
Reglamento de las Bibliotecas Ing. José Luis de la Loma y de Oteyza y Mariano Bárcena.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n528.doc,26/10/2017,Reglamento de las Bibliotecas Ing. José Luis de la Loma y de Oteyza y Mariano Bárcena.,3.00041
Reglamento de las Comisiones Consultivas Regionales del Instituto del Fondo Nacional de la Vivienda para los Trabajadores.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n210.doc,6/10/2014,Reglamento de las Comisiones Consultivas Regionales del Instituto del Fondo Nacional de la Vivienda para los Trabajadores,3.00042
Reglamento de los Centros Federales de Readaptación Social.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n274.doc,6/4/2006,Reglamento de los Centros Federales de Readaptación Social,3.00043
REGLAMENTO de los Grupos de Militares Procesados y Sentenciados..txt,MX,https://www.diputados.gob.mx/documentos/Defensa/32.pdf,17/10/2011,Reglamento de los Grupos Militares Procesados y Sentenciados,3.00044
"Reglamento de los Servicios Auxiliares al Autotransporte Federal de Arrastre, de Arrastre y Salvamento de Depósito de Vehículos.doc.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg093_03may23.doc,3/5/2023,"Reglamento de los Servicios Auxiliares al Autotransporte Federal de Arrastre, de Arrastre y Salvamento y de Depósito de Vehículos",3.00045
Reglamento de los Servicios de Atención para el Bienestar y Desarrollo Infantil del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n26.doc,15/5/2012,Reglamento de los Servicios de Atención para el Bienestar y Desarrollo Infantil del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,3.00046
Reglamento de Medicina de Aviación Civil.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/norma/reglamento/reg101_02ago23.doc,2/8/2023,Reglamento de Medicina de Aviación Civil,3.00047
REGLAMENTO de Organización Interna del Instituto Mexicano del Seguro Social..txt,MX,https://www.imss.gob.mx/sites/all/statics/pdf/reglamentos/RIIMSS.pdf,26/4/2005,Reglamento de Organización Interna del Instituto Mexicano del Seguro Social,3.00048
Reglamento de Paquetería y Mensajería.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n287.doc,29/3/2011,Reglamento de Paquetería y Mensajería,3.00049
Reglamento de Pasaportes y del Documento de Identidad y Viaje.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n60.doc,17/08/2016,Reglamento de Pasaportes y del Documento de Identidad y Viaje,3.00050
Reglamento de Prestaciones Médicas del Instituto Mexicano del Seguro Social.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regla/n29.doc,30/11/2006,Reglamento de prestaciones Médicas del Instituto Mexicano del Seguro Social,3.00051
